id,question,gold
55,জারবেরার টিস্যু কালচার চারা উৎপাদন ও পরিচর্যায় কী নির্দেশনা আছে?,বৈশিষ্ট্য সমূহ অধিক সংখ্যক সুস্থ সবল ও রোগমুক্ত জারবেরা চারা পাওয়া যায়।
64,মসুর অণুজীব সার প্রযুক্তির উপযোগিতা সম্পর্কে কী বলা হয়েছে?,বাংলাদেশের মসুর ডাল উৎপাদনকারী সকল এলাকাসমূহে ব্যবহার করা যাবে।
66,বারি চিনা-২-এর মাটি ও জমি নির্বাচন সম্পর্কে কী বলা হয়েছে?,বারি চিনা-২ উৎপাদন প্রযুক্তি জমি নির্বাচন ও তৈরি: পানি জমে না এমন বেলে দোআঁশ বা দোআঁশ মাটি চিনা চাষের জন্য উপযুক্ত।
67,চীনাবাদামের উপযোগী তাপমাত্রা সম্পর্কে কী তথ্য আছে?,চীনাবাদাম চাষে মধ্যম বৃষ্টিপাত (৫০০-১০০০ মি.মি.) ও তুলনামূলকভাবে অধিক তাপমাত্রা দরকার হয়।
68,চিয়া চাষে সেচ কতটা প্রয়োজন?,চিয়া মূলত মরুভূমির উদ্ভিদ যা অল্প সেচে জন্মাতে পারে।
73,মেটে আলু চাষে বপন বা রোপণের দূরত্ব কত?,গিট থেকে গিটের দূরত্ব ২০ সে.মি. (মাটি থেকে ১ মিটার এর মধ্যে)।
77,বারি মরিচ-৬ সাধারণত কতদিনে জীবনচক্র সম্পন্ন করে?,খাওয়ার উপযোগী সংগ্রহকাল ১৫০-২৩০ দিন এবং বীজের জন্য জীবনকাল ২৫০-২৮০ দিন।
78,বারি লটকন-২-এর ফলন কত?,ত্রিশ বছর বয়সী প্রতিটি গাছে গড় ফলের সংখ্যা ২৮৫৮ টি এবং ফলন প্রতি বছরে ৬১.৫৭ কেজি/ গাছ এবং ৯.৬১ টন/হেক্টর।
79,জোয়ার সার প্রয়োগ সম্পর্কে কী বলা হয়েছে?,দ্বিতীয় ভাগ ইউরিয়া বীজ গজানোর ২৫-৩০ দিন পর উপরি প্রয়োগ করতে হয় তৃতীয় ভাগ গাছে ফুল আসার সময় দিতে হয়।
82,সুপারি চাষের জন্য কী ধরনের মাটি উপযোগী?,"সুপারি চাষের জন্য উর্বর ও মাঝারি ধরনের মাটি অর্থাৎ হালকা বুনটের মাটি উত্তম, তবে বেলে দো-আঁশ মাটি সবচেয়ে উপযোগী।"
85,কাঁঠাল বিষয়ে বর্ষায় পানি নিষ্কাশন সম্পর্কে কী তথ্য আছে?,বর্ষা মৌসুমে বৃষ্টির পানি দ্রুত নিষ্কাশনের সুব্যবস্থা করা আবশ্যক।
87,চিনা বপন বা রোপণে কী দূরত্ব রাখতে হয়?,৬-৮ সেমি দূরত্বে একটি করে চারা রেখে মাঝের চারাগুলো তুলে ফেলতে হবে।
97,অড়হর সম্পর্কে কাঁচা ফল সংগ্রহের সময় বিষয়ে কী বলা হয়েছে?,কাঁচা ফল সব্জি হিসাবে ব্যবহারের জন্য বীজ পরিপক্ক হওয়ার ৩০-৪০ দিন পূর্বে হাত দিয়ে তুলে ফল সংগ্রহ করা যায়।
98,মুখীকচু বপন বা রোপণে কী দূরত্ব রাখতে হয়?,একক সারি পদ্ধতিতে রোপণ দূরত্ব: ৬০ সেমি × ৩৫ সেমি।
102,মসুর অণুজীব সার সেচ ব্যবস্থাপনায় কী নির্দেশনা আছে?,জমিতে পর্যাপ্ত 'জো' না থাকলে বীজ বপনের পর জমিতে সেচ দিতে হবে।
110,অড়হর থেকে হেক্টরপ্রতি কত বীজ পাওয়া যায়?,অড়হর জাতের বীজের ফলন প্রতি হেক্টরে ১.৫-১.৮ টন।
111,পানিকচুর জলাবদ্ধতা ও পানি নিষ্কাশন সম্পর্কে কী নির্দেশনা আছে?,পানিকচু একটি জলজ উদ্ভিদ হলেও দীর্ঘ সময়ধরে জলাবদ্ধতা সহ্য করতে পারে না।
119,চিনার জমিতে পানি জমা ঠেকাতে কী করতে হবে?,সেচের পানি ক্ষেতে জমে যাতে ফসলের ক্ষতি করতে না পারে সে জন্য পানি নিষ্কাশনের ব্যবস্থা থাকা দরকার।
121,বারি সুপারি-২-এর রোগ দমন বা সহনশীলতা সম্পর্কে কী বলা হয়েছে?,রোগ ও পোকামাকড়ের আক্রমণ অনেক কম পরিলক্ষিত হয়।
138,কাসাভা সম্পর্কে কন্দের ফলন বিষয়ে কী বলা হয়েছে?,জাতটির কন্দের গড় ফলন ৫৪.৩১ টন/হেক্টর।
140,চিয়া চাষে কতটি সেচ দিতে হবে?,ভাল ফলন পেতে হলে অবশ্যই ২-৩টি সেচ দিতে হবে।
156,বারি আলু-১০১-এর শুষ্ক পদার্থের পরিমাণ কত?,শুষ্ক পদার্থ ২০% এর উপরে যা অনুকূল পরিবেশে ২১% পর্যন্ত হয়।
169,বারি অড়হর-১-এর কাণ্ডের বৈশিষ্ট্য কী?,গাছের কাণ্ড গোড়ার দিকে কাষ্ঠল বর্ণের এবং উপরের দিকে সবুজ।
175,সয়াবিন-রোপা আউশ-রোপা আমন ফসল বিন্যাসের সেচ ব্যবস্থাপনায় কী নির্দেশনা আছে?,সেচ প্রয়োগ: সয়াবিন: প্রথম সেচ বীজ বপনের ২০-২৫ দিনের মধ্যে (ফুল ধরার পূর্বে) এবং দ্বিতীয় সেচ বীজ বপনের ৫৫-৬০ দিনের মধ্যে (শুটি গঠনের সময়) দিতে হবে।
193,মাঠের ইঁদুর ব্যবস্থাপনা কীভাবে সংরক্ষণ করতে হবে?,তৈরিকৃত গোবরের বল ১ মাস পর্যন্ত প্লাস্টিক জারে সংরক্ষণ করে ব্যবহার করা যায়।
199,বারি কফি-১-এর গাছের বৃদ্ধি ও শাখা-প্রশাখা সম্পর্কে কী বলা হয়েছে?,কফি গাছের সঠিক আকৃতি প্রদান এবং অপ্রয়োজনীয় ডালপালা সরানোর জন্য ছাটাই করা হয়।
200,অড়হর ব্যবহার বা উপযোগিতা সম্পর্কে কী বলা হয়েছে?,"কিন্তু লবণাক্ত, ক্ষারযুক্ত এবং জলাবদ্ধ মাটি অড়হর চাষের জন্য উপযোগী নয়।"
205,সুপারি: সুপারির বীজতলা আংশিক ছায়াযুক্ত প্রসঙ্গে কী তথ্য আছে?,সুপারির বীজতলা আংশিক ছায়াযুক্ত হলে উত্তম।
209,গম-পাট-রোপা আমন ফসল বিন্যাসের উপযোগিতা সম্পর্কে কী বলা হয়েছে?,গোপালগঞ্জ ও কৃষি পরিবেশ অঞ্চল-৩ এর অনুরূপ অঞ্চল।
210,কাঁঠাল সম্পর্কে জলাবদ্ধতা বিষয়ে কী বলা হয়েছে?,কাঁঠাল গাছ জলাবদ্ধতার প্রতি অত্যন্ত সংবেদনশীল।
211,বারি হাইব্রিড ভুট্টা-১৪-এর খরিফ মৌসুমের জীবনকাল কত?,খরিফ মৌসুমে বারি হাইব্রিড ভুট্টা-১৪-এর জীবনকাল প্রায় ১১৫ দিন।
212,চিনা চাষে কী পরিমাণ ফলন পাওয়া যায়?,হেক্টরপ্রতি ফলন ২.২৫-২.৫ টন।
216,চিয়ার জন্য কত বীজ প্রয়োজন?,বীজের হার: ৫-৬ কেজি/হেক্টর।
219,ছাদ বাগানের স্মার্ট সেচ বিষয়ে ডিজিটাল টাইমারে সেচ সময় সেট করা সম্পর্কে কী তথ্য আছে?,যখন প্রোগ্রামেবল ডিজিটাল টাইমার ব্যবহার করা হবে তখন ম্যানুয়ালি সেচের সময় ও অন্তর সেট করে দিতে হবে।
232,কফি সম্পর্কে সারি থেকে সারি ও গাছ থেকে গাছ বিষয়ে কী বলা হয়েছে?,"গাছ থেকে গাছ বা সারি থেকে সারির দূরত্ব জাত, মাটির ধরণ ও উর্বরতার উপর নির্ভর করে।"
236,বারি কফি-১-এর ফলের বৈশিষ্ট্য কী?,১০০টি ফলের গড় ওজন ১০২ গ্রাম।
245,বারি সুপারি-১ চাষে কী পরিমাণ ফলন পাওয়া যায়?,খোসাসহ কাঁচা সুপারির গড় ফলন ২৮.২৪ টন/হেক্টর (উচ্চ ফলনশীল)।
251,পানিকচুর ক্ষতিকর পোকা বা প্রাণী দমনে কী তথ্য আছে?,জাবপোকা দমনের জন্য এডমায়ার ১০০ এসপি ০.৫ মিলি প্রতি লিটার পানিতে মিশিয়ে প্রয়োগ করতে হবে।
255,বারি সুপারি-১ জাতের একটি খোসাসহ কাঁচা সুপারির ওজন কত?,খোসা সহ একক কাঁচা সুপারির গড় ওজন ৩৫.৬৭ গ্রাম।
261,জোয়ার বীজ বা দানার বৈশিষ্ট্য কী?,জোয়ারের দানা বিভিন্ন রং এর হয়ে থাকে।
266,কাসাভার ফলন কত?,সঠিকভাবে পরিচর্যা করলে কন্দের ফলন হেক্টরপ্রতি ৪০-৬০ টন সহজেই পাওয়া সম্ভব।
267,ভালো ফলনের জন্য গম-পাট-রোপা আমন ফসল বিন্যাস চাষে কয়টি সেচ প্রয়োজন?,মাটির প্রকারভেদে ২-৩টি সেচের প্রয়োজন হয়।
276,পালংশাকের কম্পোস্ট ব্যবস্থাপনার আগাছা ব্যবস্থাপনার গুরুত্বপূর্ণ সময় কত?,"আগাছা-রোগ-পোকা দমন: বীজ বপনের ১৪ এবং ২৮ দিন পর আগাছা দমন করতে হয়, কোনো প্রকার বালাইনাশকের প্রয়োজন হয় না।"
282,বারি পানিকচু-৮ বিষয়ে রান্নার পর লতির বৈশিষ্ট্য সম্পর্কে কী তথ্য আছে?,রান্না করলে লতি সমানভাবে সিদ্ধ হয় এবং খেতে অত্যন্ত সুস্বাদু।
287,চুইঝালের সংরক্ষণ সম্পর্কে কী নির্দেশনা আছে?,ফ্রিজ ছাড়াও চটের বস্তায় মুড়ে মাঝে মাঝে পানির ছিটা দিয়েও ৩০-৪০ দিন পর্যন্ত চুইঝাল সংরক্ষণ করা যায়।
295,টমেটোর সমন্বিত আগাছা ব্যবস্থাপনা চাষে চারা রোপণের পর কখন সেচ দিতে হবে?,"সেচ চারা রোপণের ৩-৪ দিন পর পর্যন্ত হালকা সেচ ও চারা রোপণের ১০,২৫ ও ৪০ দিন পর সার প্রয়োগের পর জমিতে সেচ দিতে হবে।"
297,বারি লটকন-২ চাষে কী পরিমাণ ফলন পাওয়া যায়?,ত্রিশ বছর বয়সী প্রতিটি গাছে গড় ফলের সংখ্যা ২৮৫৮ টি এবং ফলন প্রতি বছরে ৬১.৫৭ কেজি/ গাছ এবং ৯.৬১ টন/হেক্টর।
303,ডাঁটা চাষের জন্য কী ধরনের মাটি বা জমি উপযোগী?,ডাঁটার জন্য উর্বর ও গভীর মাটি প্রয়োজন হয়।
307,মরিচের ফসল সংগ্রহের নির্দেশনা কী?,মরিচ গাছ জমিতে লাগানোর ১৩০-১৫০ দিনের মধ্যে কাঁচা মরিচ সংগ্রহ শুরু করা যায়।
315,বারি অড়হর-১-এর বীজের রং কী?,প্রতি পডে বীজের সংখ্যা ৪-৫ টা এবং বীজের রং লালচে বাদামী।
317,চিয়া চাষে বীজের হার কত?,বীজের হার: ৫-৬ কেজি/হেক্টর।
324,মেটে আলুর উপযুক্ত মাটির ধরন কী?,মেটে আলুর জন্য সুনিষ্কাশিত গভীর বেলে দোঁয়াশ মাটি সর্বোত্তম।
327,অড়হর বীজের ফলন কত?,অড়হর জাতের বীজের ফলন প্রতি হেক্টরে ১.৫-১.৮ টন।
328,বারি মেটে আলু-৩-এর শুষ্ক পদার্থের পরিমাণ কত?,শুষ্ক পদার্থের পরিমাণ ২৮.৫৬ ± ১।
334,চুইঝাল চাষে পানি নিষ্কাশনের ব্যবস্থা কেমন হওয়া উচিত?,পানি নিষ্কাশনের সুবিধাযুক্ত দো-আঁশ বা বেলে দো-আঁশ মাটি সমৃদ্ধ উঁচু জমিতে চুইঝাল ভালো হয়।
337,চর এলাকায় বিনা চাষে পেঁয়াজের সার প্রয়োগ সম্পর্কে কী বলা হয়েছে?,চর এলাকায় সাধারণত সেচের সাথে সাথেই জমিতে সার প্রয়োগ করতে হবে যাতে প্রয়োগকৃত সার দ্রুত মাটিতে মিশে যায়।
347,চর এলাকায় বিনা চাষে পেঁয়াজ বিষয়ে বাল্ব পরিপক্ক সংগ্রহের সম্পর্কে কী তথ্য আছে?,বাল্ব পরিপক্ক ও সংগ্রহের একমাস পূর্বে সেচ দেওয়া বন্ধ করা উচিত তা না হলে কন্দের গুণাগুণ ও সংরক্ষণ ক্ষমতা হ্রাস পায়।
353,মরিচের সাথে পাতা জাতীয় সবজি আন্তঃফসলের সেচ সম্পর্কে কী বলা হয়েছে?,সেচ মাটিতে অতিরিক্ত আর্দ্রতা রাখা যাবে না।
358,বার্লি বপন বা রোপণে কী দূরত্ব রাখতে হয়?,সারিতে বপন করলে সারি থেকে সারির দূরত্ব ২৫ সে.মি. এবং গাছ থেকে গাছের দূরত্ব ১০ সে.মি হওয়া উত্তম।
361,গম-পাট-রোপা আমন ফসল বিন্যাসের রোগ দমন বা সহনশীলতা সম্পর্কে কী বলা হয়েছে?,"মাটিতে পটাশিয়াম সার ব্যবহারের ফলে গাছের অন্যান্য খাদ্যোপাদানের মাত্রা ঠিক থাকে এবং পটাশিয়াম গাছকে রোগের আক্রমণ, ঠান্ডা ও খরা থেকে রক্ষা করে।"
362,পানিকচু বিষয়ে রোগ দেখা দিলে করণীয় সম্পর্কে কী তথ্য আছে?,রোগ দেখা দেয়ার সাথে সাথে প্রতি লিটার পানিতে ডাইথেন এম ৪৫ অথবা ২ গ্রাম রিডোমিল এম জেড-৭২ মিশিয়ে ১৫ দিন পরপর ৩-৪ বার প্রয়োগ করতে হবে।
366,আলুর সার দেওয়ার পর করণীয় কী?,সার প্রয়োগের পর সাথে সাথে সার ও বীজ মাটি দিয়ে ভেলী তুলে ঢেকে দিতে হবে।
368,ঝাড়শিম চাষে প্রতি হেক্টরে কত চারা প্রয়োজন?,"প্রতি হেক্টর জমিতে চারার প্রয়োজন ১,১১,১১১ (এক লক্ষ এগার হাজার একশত এগার) টি।"
369,অড়হর চাষে কী পরিমাণ ফলন পাওয়া যায়?,অনুকুল আবহাওয়া ও যথাযথ যত্ন নিলে ফলন হেক্টর প্রতি ২.০ টন পর্যন্ত পাওয়া যেতে পারে।
378,বারি মরিচ-৬-এর পাতার বৈশিষ্ট্য কী?,কাণ্ড ও পাতার অক্ষ কালচে রং দ্বারা আবৃত থাকে।
384,মরিচ বপন বা রোপণে কী দূরত্ব রাখতে হয়?,সারি থেকে সারি ৫০ সে.মি. এবং গাছ থেকে গাছ ৫০ সে.মি. দূরত্বে বপন করতে হবে।
389,বারি কফি-১-এর রং বা বর্ণ কেমন?,উভয় প্রকার কফির ফুল সাদা রঙের হয়।
394,"টমেটোর সমন্বিত আগাছা ব্যবস্থাপনার আগাছা পুষ্টি, স্থান ও সূর্যালোকের ওপর কী প্রভাব ফেলে?","আগাছা দ্রুত বৃদ্ধি লাভ করে এবং টমেটোর সাথে প্রতিযোগিতা করে পুষ্টি উপাদান, স্থান ও সূর্যালোক গ্রহণ করে।"
396,কফি বিষয়ে কফির চারা তৈরির পদ্ধতি সম্পর্কে কী তথ্য আছে?,কফির চারা বীজ ও অঙ্গজ উপায়ে করা হয়ে থাকে।
399,চুইঝাল সম্পর্কে পলিব্যাগ বিষয়ে কী বলা হয়েছে?,বাণিজ্যিকভাবে চুইঝালের বিভিন্ন কাটিং পলিব্যাগে চারা তৈরি করা হয়।
410,বারি বার্লি-১০-এর বীজ বা দানার বৈশিষ্ট্য কী?,বৈশিষ্ট্য জাতটির শীষ ছয় সারি বিশিষ্ট ও দানা খোসামুক্ত।
423,জোয়ার বীজ শোধনের নির্দেশনা কী?,বীজকে রোগবালাই মুক্ত করার জন্য বীজ বপনের আগে বীজ শোধন করা উচিত।
424,বারি পানিকচু-৯ সম্পর্কে রান্নার পর লতির বৈশিষ্ট্য বিষয়ে কী বলা হয়েছে?,রান্না করলে লতি সমানভাবে সিদ্ধ হয় এবং খেতে সুস্বাদু।
426,বারি পানিকচু-৯ বিষয়ে রান্নার পর লতির বৈশিষ্ট্য সম্পর্কে কী তথ্য আছে?,রান্না করলে লতি সমানভাবে সিদ্ধ হয় এবং খেতে সুস্বাদু।
429,বেগুনের সাথে পেঁয়াজ ও রসুন আন্তঃফসল চাষে পানি জমে থাকা নিয়ে কী বলা হয়েছে?,বেগুন ও পেঁয়াজ এবং বেগুন ও রসুন আন্তঃফসল জলাবদ্ধতা সহ্য করতে পারে না।
433,বারি অড়হর-১ সাধারণত কতদিনে জীবনচক্র সম্পন্ন করে?,ফল প্রায় একই সাথে পরিপক্ক হয় এবং জীবনকাল ২৫০-২৬০ দিন।
447,সুপারি সম্পর্কে সারি ও চারার দূরত্ব বিষয়ে কী বলা হয়েছে?,বগার্কৃতি পদ্ধতিতে সারি থেকে সারির দূরত্ব ২.৫ মিটার এবং চারা থেকে চারার দূরত্ব ২.৫ মিটার।
457,অড়হর কোথায় বা কী কাজে উপযোগী?,"কিন্তু লবণাক্ত, ক্ষারযুক্ত এবং জলাবদ্ধ মাটি অড়হর চাষের জন্য উপযোগী নয়।"
465,মরিচের সাথে পাতা জাতীয় সবজি আন্তঃফসল প্রযুক্তি কোথায় বা কোন ক্ষেত্রে উপযোগী?,"প্রযুক্তিটি কুষ্টিয়া, যশোর, পাবনা, জামালপুরও কুমিলাজেলায় প্রয়োগ করা যেতে পারে।"
482,বারি ডাঁটা-৪ চাষে কী পরিমাণ ফলন পাওয়া যায়?,শাক হিসেবে হেক্টর প্রতি গড় ফলন ১২-১৫ টন এবং ডাঁটা হিসেবে হেক্টর প্রতি গড় ফলন ৫০-৫২ টন।
484,লটকন কীভাবে চাষ বা বপন করতে হবে?,যেকোনো প্রকার মাটিতে লটকন এর চাষ করা যায়।
487,বারি কফি-১ কোথায় বা কী কাজে উপযোগী?,খরা সহিষ্ণু ও আংশিক ছায়াযুক্ত স্থানে বিশেষভাবে অন্য ফল বাগানের ভিতরে চাষ উপযোগী।
491,বারি আলু-১০৩-এর শুষ্ক পদার্থ সম্পর্কে কী তথ্য আছে?,শুষ্ক পদার্থ ২০% এর উপরে যা অনুকূল পরিবেশে ২২% পর্যন্ত হয়।
507,জোয়ার ফসল সংগ্রহের নির্দেশনা কী?,এছাড়া দু' একটি বীজ দাঁতে কাটার পর 'কট' করে শব্দ হলে বুঝতে হবে ফসল কাটার উপযুক্ত সময় হয়েছে।
513,আলুর টিউবার মথ ব্যবস্থাপনার পোকামাকড় বা ক্ষতিকর প্রাণী ব্যবস্থাপনায় কী বলা হয়েছে?,আর্থ-সামাজিক প্রেক্ষাপট: প্রযুক্তি ব্যবহারে আলুর সুতলি পোকা দমন করার মাধ্যমে আলুর সংগ্রহোত্তর ক্ষতি কমানো সম্ভব।
514,কাসাভা বিষয়ে কন্দের ফলন সম্পর্কে কী তথ্য আছে?,জাতটির কন্দের গড় ফলন ৫৪.৩১ টন/হেক্টর।
516,বারি সুপারি-১-এর খোসাসহ একক কাঁচা সুপারির গড় ওজন কত?,খোসা সহ একক কাঁচা সুপারির গড় ওজন ৩৫.৬৭ গ্রাম।
520,বারি মুখীকচু-৩-এর জীবনকাল কত?,খাওয়ার উপযোগী সংগ্রহকাল ২৩০-২৬০ দিন এবং বীজের জন্য জীবনকাল ২৭০-৩০০ দিন।
522,বারি আলু-১০৪-এর গাছের উচ্চতা কত?,গাছ মধ্যম উচ্চতা সম্পন্ন ইন্টারমিডিয়েট টাইপ এবং গড়ে ৩-৫টি কাণ্ড থাকে।
526,আলু চাষে সার প্রয়োগের পর সঙ্গে সঙ্গে কী করতে হবে?,সার প্রয়োগের পর সাথে সাথে সার ও বীজ মাটি দিয়ে ভেলী তুলে ঢেকে দিতে হবে।
527,জোয়ার বীজ বা দানা সম্পর্কে কী তথ্য আছে?,জোয়ারের দানা বিভিন্ন রং এর হয়ে থাকে।
530,বারি ঝাড়শীম-৪-এর বীজের ফলন কত?,হেক্টর প্রতি পডের গড় ফলন ৩৭.৮২ টন এবং বীজের ফলন ১৬.৪৯ টন।
533,কাসাভা চাষে কোন সার কত পরিমাণে দিতে হবে?,সম্পূর্ণ গোবর সার (১০.১৫ টন) ও টিএসপি (১২৫ কেজি) শেষ জমি চাষের সময় ভালভাবে মাটির সাথে মিশিয়ে দিতে হয়।
534,বারি অড়হর-১-এর কাণ্ড সম্পর্কে কী তথ্য আছে?,গাছের কাণ্ড গোড়ার দিকে কাষ্ঠল বর্ণের এবং উপরের দিকে সবুজ।
535,কাঁঠালের মাটি ও জমি নির্বাচন সম্পর্কে কী বলা হয়েছে?,"দোআঁশ, বেলে দোআঁশ, এঁটেল এমন কি কাকুরে মাটিতেও এর চাষ করা যায়।"
538,লটকন সম্পর্কে মাদা তৈরির পর চারা লাগানোর সময় বিষয়ে কী বলা হয়েছে?,মাদা তৈরির ১৫-২০ দিন পর চারা/কলম লাগাতে হবে।
546,বারি পানিকচু-৯-এর লতির সংখ্যা ও গড় ওজন সম্পর্কে কী তথ্য আছে?,"প্রতিটি লতির গড় ওজন ৩৩ গ্রাম, দৈর্ঘ্য ৬৪ সেমি এবং ব্যাস প্রায় ১.০ সেমি।"
569,কাসাভা চাষে পানি নিষ্কাশনের ব্যবস্থা কেমন হওয়া উচিত?,বন্যা বা বৃষ্টির পানি যাতে জমিতে না জমতে পারে সে জন্য নিষ্কাশনের সু-ব্যবস্থা থাকতে হবে।
571,কফি কোথায় বা কী কাজে উপযোগী?,বাংলাদেশের পার্বত্য অঞ্চলের মাটি ও জলবায়ু বাণিজ্যিক কফি চাষের জন্য উপযোগী।
579,মাঠের ইঁদুর ব্যবস্থাপনা সম্পর্কে গর্তে গোবরের বল ব্যবহারের পদ্ধতি বিষয়ে কী বলা হয়েছে?,ইঁদুরের গর্তের মুখ পরিষ্কার করে ভিতরে গোবরের বল দিয়ে মুখ বন্ধ করে দিতে হয়।
590,বারি অড়হর-১ বীজ দেখতে কোন রঙের?,প্রতি পডে বীজের সংখ্যা ৪-৫ টা এবং বীজের রং লালচে বাদামী।
592,বেগুনের সাথে পেঁয়াজ ও রসুন আন্তঃফসল কখন বা কীভাবে সংগ্রহ করতে হবে?,প্রতিকূল আবহাওয়ায় একটি ফসল ক্ষতিগ্রস্ত হলেও কৃষক কমপক্ষে একটি ফসল সংগ্রহ করতে পারবে।
595,সুপারি চাষে আগাছা বেশি হলে কী করতে হবে?,বর্ষাকালে আগাছা বেশি হয় বিধায় ঘন ঘন আগাছা পরিষ্কার করতে হবে।
596,চীনাবাদামের বীজ বা দানা সম্পর্কে কী তথ্য আছে?,বীজ ও খোসার অনুপাত ৭:৩ অর্থাৎ ১০ কেজি খোসাসহ বাদামে ৭ কেজি বীজ পাওয়া যায়।
597,মুখীকচু চাষে কী পরিমাণ ফলন পাওয়া যায়?,উচ্চ ফলনশীল এ জাতের গড় ফলন হেক্টর প্রতি প্রায় ৪০-৪৫ টন।
605,ভালো ফলনের জন্য মরিচের সাথে পাতা জাতীয় সবজি আন্তঃফসল চাষে কয়টি সেচ প্রয়োজন?,জমির আর্দ্রতার উপর নির্ভর করে ৩/৪টি সেচ দিতে হবে।
609,কাসাভা চাষে কী পরিমাণ ফলন পাওয়া যায়?,সঠিকভাবে পরিচর্যা করলে কন্দের ফলন হেক্টরপ্রতি ৪০-৬০ টন সহজেই পাওয়া সম্ভব।
611,মাঠের ইঁদুর ব্যবস্থাপনা বিষয়ে প্রযুক্তি ব্যবহার পদ্ধতির সম্পর্কে কী তথ্য আছে?,প্রযুক্তি ব্যবহার পদ্ধতির সংক্ষিপ্ত বিবরণ: ইহা একটি কার্যকর ইঁদুর তাড়ানো পদ্ধতি।
622,বারি কফি-১-এর চারা সম্পর্কে কী তথ্য দেওয়া হয়েছে?,জাতভেদে রোপণ দূরত্বের উপর চারার সংখ্যা নির্ভর করে।
623,মাঠের ইঁদুর ব্যবস্থাপনা বিষয়ে মাঠ ফসলের যেখানে সম্পর্কে কী তথ্য আছে?,মাঠ ফসলের যেখানে ইঁদুরের গর্ত আছে সেখানে ব্যবহার যোগ্য।
629,চুইঝালের উপযুক্ত রোপণের সময় কোনটি?,এপ্রিল-জুন মাস চুইঝালের লতা বা চারা রোপণের উপযুক্ত সময়।
636,চর এলাকায় বিনা চাষে পেঁয়াজের প্রযুক্তির উপযোগিতা সম্পর্কে কী বলা হয়েছে?,"তিস্তা, ব্রহ্মপুত্র ও যমুনা অববাহিকার চরসমূহ।"
638,মিষ্টি মরিচের জিংক ও বোরনের সার প্রয়োগ সম্পর্কে কী বলা হয়েছে?,সিঞ্চন পদ্ধতিতে ০.০৫% জিংক এবং ০.০৩% বোরন গাছের তিনটি ভিন্ন বৃদ্ধি পর্যায়ে পাতায় দিতে হবে।
641,চীনাবাদামের উপযুক্ত বপনের সময় কোনটি?,চীনাবাদাম রবি ও খরিফ উভয় মৌসুমে চাষাবাদ করা যায়।
642,বারি চুইঝাল-১-এর গাছের উচ্চতা কত?,গাছের গড় উচ্চতা ১০-১২ মিটার।
645,বারি কাঁঠাল-৫-এর গাছ কতটা লম্বা হয়?,গাছের উচ্চতা সাধারণতঃ ১০-১২ মিটার পর্যন্ত হয়ে থাকে।
653,ভুট্টা-রোপা আউশ-রোপা আমন ফসলধারার রোগ ব্যবস্থাপনায় কী তথ্য আছে?,রোপা আউশ: স্টেমবোরার পোকা দমনের জন্য ভিরতাকো এবং শীথ ব্লাইট দমনের জন্য ফুলিকুর ০.৫ মিলি/ লিটার হারে প্রয়োগ করতে হবে।
