id,question,doc_1,title_1,context_1,source_1,reranker_score_1,doc_2,title_2,context_2,source_2,reranker_score_2,doc_3,title_3,context_3,source_3,reranker_score_3,extractive_sentence,extractive_score
846,বারি মরিচ-৬-এর ফলের বৈশিষ্ট্য কী?,355,বারি মরিচ-৬: ফলের বৈশিষ্ট্য,"বারি মরিচ-৬ কাঁচা অবস্থায় গাঢ় কালচে, ফলের গায়ের পার্শ্বে আংশিক বা সামগ্রিক (মৌসুম ভেদে) কালচে রং থাকে এবং পরিপক্ক অবস্থায় উজ্জ্বল, গাঢ় লাল রং বিশিষ্ট।",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,7.78515625,358,বারি মরিচ-৬: ফলের বৈশিষ্ট্য,ফল মাঝারি লম্বা এবং প্রতিটি মরিচের দৈর্ঘ্য ৪-৫ সেমি।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,6.609375,356,বারি মরিচ-৬: পাতার বৈশিষ্ট্য,কাণ্ড ও পাতার অক্ষ কালচে রং দ্বারা আবৃত থাকে।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,4.37890625,"বারি মরিচ-৬ কাঁচা অবস্থায় গাঢ় কালচে, ফলের গায়ের পার্শ্বে আংশিক বা সামগ্রিক (মৌসুম ভেদে) কালচে রং থাকে এবং পরিপক্ক অবস্থায় উজ্জ্বল, গাঢ় লাল রং বিশিষ্ট।",5.3828125
847,বারি সুপারি-২-এর খোসাসহ একক শুকনা সুপারির গড় ওজন কত?,275,বারি সুপারি-২: ওজন,খোসা সহ একক শুকনা সুপারির গড় ওজন ১৪.০৭ গ্রাম।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,9.1015625,274,বারি সুপারি-২: ওজন,খোসা সহ একক কাঁচা সুপারির গড় ওজন ৪০.০০ গ্রাম।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,7.375,278,বারি সুপারি-২: ফলন,খোসাসহ শুকনা সুপারির গড় ফলন ১২.০৭ টন/হেক্টর।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,5.14453125,খোসা সহ একক শুকনা সুপারির গড় ওজন ১৪.০৭ গ্রাম।,6.86328125
848,পালংশাকের কম্পোস্ট ব্যবস্থাপনার মৌসুম-সংক্রান্ত তথ্য কী?,410,পালংশাক: কম্পোস্ট ব্যবস্থাপনা: মৌসুম,রবি মৌসুমে প্রতিটি গাছের গোড়ায় সঠিক পরিমাণে পানি পৌঁছানো খুবই গুরুত্বপূর্ণ বিষয় যা আমাদের ব্যস্তময় জীবনে সম্ভব হয় না।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,3.779296875,406,পালংশাক: কম্পোস্ট ব্যবস্থাপনা: বপনের সময়,প্রযুক্তি ব্যবহারের তথ্য: শস্য: পালংশাক; জাত: বারি পালংশাক-২; বপনের সময়: ১৫-৩০ নভেম্বর।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,3.53125,405,পালংশাক: কম্পোস্ট ব্যবস্থাপনা: প্রযুক্তির উপযোগিতা,"অঞ্চল: কৃষি পরিবেশ অঞ্চল-২৮, এলাকা: গাজীপুর, মৌসুম: রবি।",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,3.060546875,প্রযুক্তি ব্যবহারের তথ্য: শস্য: পালংশাক; জাত: বারি পালংশাক-২; বপনের সময়: ১৫-৩০ নভেম্বর।,-0.5302734375
849,গম-পাট-রোপা আমন ফসল বিন্যাস সম্পর্কে রোপা আমন জমি আগাছামুক্ত রাখার সময় বিষয়ে কী বলা হয়েছে?,465,গম-পাট-রোপা আমন ফসল বিন্যাস: আগাছা ব্যবস্থাপনা,রোপা আমন: আমন ধানের জমি ৩০ থেকে ৪০ দিন পর্যন্ত আগাছামুক্ত রাখতে হবে।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,7.16796875,463,গম-পাট-রোপা আমন ফসল বিন্যাস: আগাছা ব্যবস্থাপনা,পাট: পাটের জমি ৩০ থেকে ৪০ দিন পর্যন্ত আগাছামুক্ত রাখতে হবে।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,6.8203125,464,গম-পাট-রোপা আমন ফসল বিন্যাস: আগাছা ব্যবস্থাপনা,বীজ বপনের ৪৫-৫০ দিন পর একবার ও ৭০ হতে ৮০ দিন পর দ্বিতীয়বার নিড়ানি দিতে হবে এবং পাট পাতলা করতে হবে।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,3.51953125,রোপা আমন: আমন ধানের জমি ৩০ থেকে ৪০ দিন পর্যন্ত আগাছামুক্ত রাখতে হবে।,4.80078125
850,গম-পাট-রোপা আমন ফসল বিন্যাসের সেচ ব্যবস্থাপনায় কী নির্দেশনা আছে?,460,গম-পাট-রোপা আমন ফসল বিন্যাস: সেচ ব্যবস্থাপনা,বপনের ১৭-২১ দিন পরে প্রথম সেচ ও দ্বিতীয় সেচ শীষ বের হওয়ার সময় ৫০-৫৫ দিন পর দিতে হবে।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,4.7109375,454,গম-পাট-রোপা আমন ফসল বিন্যাস: সার ব্যবস্থাপনা,সেচসহ চাষের ক্ষেত্রে চারার তিন পাতা বয়সে প্রথম সেচের পর হেক্টরপ্রতি ৭৫-৯০ কেজি ইউরিয়া উপরি প্রয়োগ করতে হবে।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,4.4921875,459,গম-পাট-রোপা আমন ফসল বিন্যাস: সেচ ব্যবস্থাপনা,মাটির প্রকারভেদে ২-৩টি সেচের প্রয়োজন হয়।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,3.953125,সেচসহ চাষের ক্ষেত্রে চারার তিন পাতা বয়সে প্রথম সেচের পর হেক্টরপ্রতি ৭৫-৯০ কেজি ইউরিয়া উপরি প্রয়োগ করতে হবে।,-4.8671875
851,বারি সোলার টানেল ড্রায়ার মাপ বা মাত্রা কত?,495,বারি সোলার টানেল ড্রায়ার: মাত্রা ও মাপ,"লম্বা ৩২০০ মিমি, চওড়া ১২০০মিমি, উচ্চতা ৭২০ মিমি।",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,7.53515625,498,বারি সোলার টানেল ড্রায়ার: আয়-ব্যয় ও মুনাফা,"মূল্য: ২০,০০০.০০ টাকা (এমএস)।",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,-3.396484375,496,বারি সোলার টানেল ড্রায়ার: সংরক্ষণ,দ্রব্য একদিনে না শুকালে সেগুলো ড্রায়ারের ভিতরে রেখেই ড্রায়ারসহ নিরাপদ স্থানে সংরক্ষণ করা যেতে পারে।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,-3.412109375,"লম্বা ৩২০০ মিমি, চওড়া ১২০০মিমি, উচ্চতা ৭২০ মিমি।",-3.12109375
852,চীনাবাদামের উপযুক্ত মাটির ধরন কী?,110,চীনাবাদাম: মাটি ও জমির উপযোগিতা,ক্যালসিয়াম ও জৈব পদার্থ সমৃদ্ধ বেলে দো-আঁশ মাটি চীনাবাদাম উৎপাদনের জন্য উপযুক্ত।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,5.94140625,122,চীনাবাদাম: জমি প্রস্তুতি,চীনাবাদাম গাছের ফুল নিষিক্ত হবার পর গর্ভদণ্ড বা পেগ মাটির নিচে যায় বিধায় জমিতে ৩-৪ টি চাষ ও মই দিয়ে মাটি ঝুরঝুরে করে নিতে হবে।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,1.904296875,141,চীনাবাদাম: চাষ পদ্ধতি,জমিতে ভালভাবে চাষ দিয়ে মাটিতে 'জোঁ' থাকা অবস্থায় লাঙ্গল দিয়ে ২.৫-৩.৫ সে.মি. গভীর নালা টেনে তাতে বীজ বুনে মাটি দিয়ে ঢেকে দিতে হবে।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,1.3623046875,ক্যালসিয়াম ও জৈব পদার্থ সমৃদ্ধ বেলে দো-আঁশ মাটি চীনাবাদাম উৎপাদনের জন্য উপযুক্ত।,6.43359375
853,বারি কাঁঠাল-৫-এর রং বা বর্ণ কেমন?,215,বারি কাঁঠাল-৫: রং ও বর্ণ,ফল সাধারণত সবুজাভ হলুদ রঙের হয়।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,5.9140625,216,বারি কাঁঠাল-৫: রং ও বর্ণ,"কোষ গুলি মোটামুটি শক্ত, রস যুক্ত, গাঢ় হলুদ বর্ণের হয় এবং বেশ সুমিষ্ট (টিএসএস-২৭.৪%)।",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,5.84765625,219,বারি কাঁঠাল-৬: রং ও বর্ণ,"পাল্প শক্ত, উজ্জল হলুদ বর্ণের ও আঠাববিহীন।",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,1.39453125,ফল সাধারণত সবুজাভ হলুদ রঙের হয়।,-5.4453125
854,চীনাবাদাম চাষে বীজ কীভাবে শোধন করতে হবে?,130,চীনাবাদাম: বীজ শোধন,প্রতি কেজি বীজে ২.৫-৩.০ গ্রাম হিসেবে প্রোভেক্স (ছত্রাক নাশক) মিশিয়ে বীজ শোধন করে নেওয়া ভাল।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,5.2421875,141,চীনাবাদাম: চাষ পদ্ধতি,জমিতে ভালভাবে চাষ দিয়ে মাটিতে 'জোঁ' থাকা অবস্থায় লাঙ্গল দিয়ে ২.৫-৩.৫ সে.মি. গভীর নালা টেনে তাতে বীজ বুনে মাটি দিয়ে ঢেকে দিতে হবে।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,1.4326171875,126,চীনাবাদাম: বপন পদ্ধতি,বীজ বপনের আগে খোসা হতে বীজ আলাদা করে নিতে হবে।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,0.0960693359375,প্রতি কেজি বীজে ২.৫-৩.০ গ্রাম হিসেবে প্রোভেক্স (ছত্রাক নাশক) মিশিয়ে বীজ শোধন করে নেওয়া ভাল।,-1.912109375
855,কাসাভা কখন বা কীভাবে সংগ্রহ করতে হবে?,90,কাসাভা: ফসল সংগ্রহ,চারা রোপণের ৭ মাস পর থেকে কাসাভা গাছ থেকে কন্দ সংগ্রহ করা যায়।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,2.931640625,92,কাসাভা: ফসল সংগ্রহ,কাসাভার সবচেয়ে বড় সুবিধা হল কন্দ গাছের সাথে সংরক্ষিত থাকে এবং প্রয়োজনমত সংগ্রহ করা যায় তবে ৯-১০ মাসের পর থেকে তিতা হয়ে যায়।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,2.234375,85,কাসাভা: ফসল সংগ্রহ,কাণ্ড থেকে কাটিং সংগ্রহ করার পর কাটিংগুলিকে একত্রিত করে পলিথিন ব্যাগে মুড়িয়ে ছায়াযুক্ত স্থানে ৩ থেকে ৫ দিন রেখে দিলে স্প্রাউটিং তাড়াতাড়ি হয়।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,0.58056640625,চারা রোপণের ৭ মাস পর থেকে কাসাভা গাছ থেকে কন্দ সংগ্রহ করা যায়।,2.978515625
856,মেটে আলু চাষে কী পরিমাণ ফলন পাওয়া যায়?,75,মেটে আলু: ফলন,জাতটির কন্দের গড় ফলন ১১৭.৮ টন/হেক্টর।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,3.630859375,9,বারি আলু-১০১: ফলন,হেক্টরপ্রতি গড় ফলন ৪৫.৮২ টন যা অনুকূল পরিবেশে বাংলাদেশের আবহাওয়ায় সর্বোচ্চ ৫০ টন পর্যন্ত হয়।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,-1.0498046875,13,বারি আলু-১০২: ফলন,হেক্টর প্রতি গড় ফলন ৩৬.০০ টন যা অনুকূল পরিবেশে বাংলাদেশের আবহাওয়ায় সর্বোচ্চ ৪০.০০ টন পর্যন্ত হয়।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,-1.0693359375,হেক্টরপ্রতি গড় ফলন ৪৫.৮২ টন যা অনুকূল পরিবেশে বাংলাদেশের আবহাওয়ায় সর্বোচ্চ ৫০ টন পর্যন্ত হয়।,-1.41015625
857,কাঁঠালের জলাবদ্ধতা ও পানি নিষ্কাশন সম্পর্কে কী নির্দেশনা আছে?,221,কাঁঠাল: জলাবদ্ধতা ও পানি নিষ্কাশন,সাধারণত উঁচু ও মাঝারি উঁচু জমি যেখানে পানি নিষ্কাশনের সুব্যবস্থা রয়েছে এমন উর্বর জমি কাঁঠালের চাষের জন্য উপযোগী।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,2.580078125,220,কাঁঠাল: জলাবদ্ধতা ও পানি নিষ্কাশন,কাঁঠাল গাছ জলাবদ্ধতা সহ্য করতে পারে না।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,2.09375,234,কাঁঠাল: জলাবদ্ধতা ও পানি নিষ্কাশন,বর্ষা মৌসুমে বৃষ্টির পানি দ্রুত নিষ্কাশনের সুব্যবস্থা করা আবশ্যক।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,1.904296875,সাধারণত উঁচু ও মাঝারি উঁচু জমি যেখানে পানি নিষ্কাশনের সুব্যবস্থা রয়েছে এমন উর্বর জমি কাঁঠালের চাষের জন্য উপযোগী।,-0.5078125
858,পানিকচু সম্পর্কে চারা রোপণের গভীরতা বিষয়ে কী বলা হয়েছে?,50,পানিকচু: চারা উৎপাদন ও পরিচর্যা,চারা রোপণের জন্য মাটির গভীরতা হবে ৫-৬ সে.মি.।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,4.4765625,49,পানিকচু: রোপণ বা বপনের দূরত্ব,সারি থেকে সারির দূরত্ব ৬০ সে.মি. এবং গাছ থেকে গাছের দূরত্ব ৪৫ সে.মি. রাখতে হবে।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,0.1925048828125,42,পানিকচু: চারা উৎপাদন ও পরিচর্যা,মূল জমিতে চারা রোপণ করতে দেরি হলে পানিকচুর চারা ভেজা মাটি ও ছায়া যুক্ত স্থানে রেখে দিতে হবে।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,-0.115966796875,চারা রোপণের জন্য মাটির গভীরতা হবে ৫-৬ সে.মি.।,1.2685546875
859,মাঠের ইঁদুর ব্যবস্থাপনা সম্পর্কে গোবরের বল শুকানোর সময় বিষয়ে কী বলা হয়েছে?,475,মাঠের ইঁদুর ব্যবস্থাপনা: পোকামাকড় বা ক্ষতিকর প্রাণী ব্যবস্থাপনা,গোবরের বল গুলোকে ২ দিন পর্যন্ত শুকিয়ে ইঁদুর তাড়ানোর কাজে ব্যবহার করা হয়।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,5.02734375,478,মাঠের ইঁদুর ব্যবস্থাপনা: সংরক্ষণ,তৈরিকৃত গোবরের বল ১ মাস পর্যন্ত প্লাস্টিক জারে সংরক্ষণ করে ব্যবহার করা যায়।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,1.9619140625,477,মাঠের ইঁদুর ব্যবস্থাপনা: পোকামাকড় বা ক্ষতিকর প্রাণী ব্যবস্থাপনা,একদিন পরে গর্তের খোলা মুখে আবার গোবরের বল দিতে হয়।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,1.6435546875,গোবরের বল গুলোকে ২ দিন পর্যন্ত শুকিয়ে ইঁদুর তাড়ানোর কাজে ব্যবহার করা হয়।,3.611328125
860,অড়হর সারিতে বপন করলে প্রতি হেক্টরে কত বীজ লাগে?,205,অড়হর: বীজের হার,সারিতে বপন করলে প্রতি হেক্টরে ১ কেজি বীজের প্রয়োজন হবে।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,6.86328125,211,অড়হর: ফলন,অড়হর জাতের বীজের ফলন প্রতি হেক্টরে ১.৫-১.৮ টন।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,4.40234375,200,বারি অড়হর-১: বীজ বা দানার বৈশিষ্ট্য,১০০ বীজের ওজন ১১-১২ গ্রাম এবং ফলন প্রতি হেক্টরে প্রায় ১.৫-১.৮ টন।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,3.193359375,অড়হর জাতের বীজের ফলন প্রতি হেক্টরে ১.৫-১.৮ টন।,5.76171875
861,মেটে আলুর সার প্রয়োগ সম্পর্কে কী বলা হয়েছে?,73,মেটে আলু: সার ব্যবস্থাপনা,ইউরিয়া অর্ধেক এবং অবশিষ্ট এমপি সারের অর্ধেক বীজ রোপণের ৩৫-৪০ দিন পর এবং অর্ধেক ইউরিয়া ও অবশিষ্ট এমপি সার বীজ রোপণের ৭০-৮০ দিনের মধ্যে উপরি প্রয়োগ করতে হবে।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,2.650390625,71,মেটে আলু: সার ব্যবস্থাপনা,"হেক্টরপ্রতি ২০ টন গোবর বা খামারজাত সার ও ২ টন ছাই, ২৬০ কেজি ইউরিয়া, ৩০০ কেজি টিএসপি এবং ১৬০ কেজি এমপি সার প্রয়োগ করতে হবে।",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,2.537109375,70,মেটে আলু: সার ব্যবস্থাপনা,মেটে আলুতে জৈব সারের ব্যাপক প্রভাব রয়েছে।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,1.0126953125,মেটে আলুতে জৈব সারের ব্যাপক প্রভাব রয়েছে।,0.1824951171875
862,বারি বার্লি-১০-এর হাজার দানার ওজন কত?,140,বারি বার্লি-১০: বীজ বা দানার বৈশিষ্ট্য,হাজার দানার ওজন ৩৬-৪০ গ্রাম।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,7.11328125,151,বারি চিয়া ১: বীজ বা দানার বৈশিষ্ট্য,হাজার দানার ওজন ১.২ গ্রাম।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,2.251953125,167,বারি চিনা-২: বীজ বা দানার বৈশিষ্ট্য,হাজার দানার ওজন ৫-৫.৫ গ্রাম।বাংলাদেশের সকল এলাকাতে এই জাতটি চাষ করা যায়।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,1.291015625,হাজার দানার ওজন ১.২ গ্রাম।,4.10546875
863,বারি ঝাড়শীম-৪ সম্পর্কে গাছপ্রতি পডের সংখ্যা ও ওজন বিষয়ে কী বলা হয়েছে?,260,বারি ঝাড়শীম-৪: ফলের বৈশিষ্ট্য,প্রতি গাছে পডের সংখ্যা প্রায় ১৮ টি ও গড় ওজন ২২৮.২৬ গ্রাম।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,7.4609375,261,বারি ঝাড়শীম-৪: বীজ বা দানার বৈশিষ্ট্য,প্রতি পডে ৭-৯ টি বীজ থাকে এবং ১০০ টি বীজের ওজন ৯৭.২৭ গ্রাম।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,5.9765625,259,বারি ঝাড়শীম-৪: ফলের বৈশিষ্ট্য,১৮-২৩ সে.মি. লম্বা ও ১.০-১.৩ সেমি চওড়া প্রতি পডের গড় ওজন ১৬.১২ গ্রাম।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,5.94921875,প্রতি গাছে পডের সংখ্যা প্রায় ১৮ টি ও গড় ওজন ২২৮.২৬ গ্রাম।,2.36328125
864,অড়হর সার ব্যবস্থাপনায় কী নির্দেশনা আছে?,210,অড়হর: সার ব্যবস্থাপনা,সার ব্যবস্থাপনা: অড়হর ফসলে তেমন একটা সারের প্রয়োজন হয় না।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,1.46484375,22,আলু: সার ব্যবস্থাপনা,"অর্ধেক ইউরিয়া, সম্পূর্ণ টিএসপি, এমওপি, জিপসাম, ম্যাগনেসিয়াম সালফেট ও বোরন সার রোপণের সময় সারির দুই পার্শ্বে বা জমিতে মিশিয়ে দিতে হবে।",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,-2.392578125,23,আলু: সার ব্যবস্থাপনা,সার প্রয়োগের পর সাথে সাথে সার ও বীজ মাটি দিয়ে ভেলী তুলে ঢেকে দিতে হবে।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,-3.083984375,সার ব্যবস্থাপনা: অড়হর ফসলে তেমন একটা সারের প্রয়োজন হয় না।,-0.38037109375
