id,question,gold
18,বারি আলু-১০৩-এর কন্দের চামড়া ও শাঁসের রং কেমন?,"আলুর চামড়া মসৃণ ও রং হলুদ, শাঁসের রং ক্রিম, চোখ অগভীর ও চোখ আলুতে সমভাবে বিন্যস্ত।"
19,চর এলাকায় বিনা চাষে পেঁয়াজের সেচ সম্পর্কে কী বলা হয়েছে?,সেচ ব্যবস্থাপনা: চর এলাকায় মাটির অবস্থাভেদে ৮-১০ বার সেচের প্রয়োজন হয়।
20,মাঠের ইঁদুর ব্যবস্থাপনা সম্পর্কে ইঁদুর তাড়ানোর কার্যকারিতা বিষয়ে কী বলা হয়েছে?,এ পদ্ধতিতে প্রায় ৭০ ভাগ ইঁদুর কার্যকর ভাবে তাড়ানো যাবে।
21,সুপারি: প্রতিটি বীজতলা মিটার চওড়া প্রসঙ্গে কী তথ্য আছে?,প্রতিটি বীজতলা ১-১.৫ মিটার চওড়া এবং ৩ মিটার লম্বা হওয়া উচিত।
22,পানিকচুর জমি আগাছামুক্ত রাখার নির্দেশনা কী?,পানিকচুর জমি সবসময় আগাছামুক্ত রাখতে হবে।
23,সুপারির জন্য কত বীজ প্রয়োজন?,প্রতি হেক্টরে বীজের হার ৭০-৮০ কেজি (খোসাসহ কাঁচা সুপারি)।
24,বারি আলু-১০৩-এর শুষ্ক পদার্থের পরিমাণ কত?,শুষ্ক পদার্থ ২০% এর উপরে যা অনুকূল পরিবেশে ২২% পর্যন্ত হয়।
25,কাঁঠাল সম্পর্কে স্বল্প সময়ের জলাবদ্ধতায় মারা প্রসঙ্গে উৎসে কী বলা হয়েছে?,স্বল্প সময়ের জলাবদ্ধতায় গাছ মারা যায়।
26,বারি পানিকচু-৯ সম্পর্কে লতির গড় সংখ্যা ও গড় ওজন বিষয়ে কী বলা হয়েছে?,গাছ প্রতি লতির গড় সংখ্যা ৩০ টি এবং গড় ওজন ৮০০ গ্রাম।
27,মরিচের মাটির পিএইচ সম্পর্কে কী বলা হয়েছে?,পিএইচ মাত্রা ৬.৫-৭.০ এবং ভাল-নিষ্কাশিত উর্বর বেলে-দোআঁশ বা পলিযুক্ত দোআঁশ মাটি ফসলটির জন্য সবচেয়ে উপযোগী।
28,বারি আলু-১০১-এর অঙ্কুরের বৈশিষ্ট্য কী?,"অঙ্কুর মাঝারি আকারের ও কনিক্যাল আকৃতির, গোড়ার দিকে বেশি পরিমাণে এন্থোসায়ানিন আছে ও বেশি লোমযুক্ত।"
29,লটকন বিষয়ে গর্তে চারা বসানোর পদ্ধতি সম্পর্কে কী তথ্য আছে?,চারা গর্তের ঠিক মাঝখানে খাড়াভাবে লাগাতে হবে এবং চারার চারিদিকের মাটি হাত দিয়ে চেপে ভালভাবে বসিয়ে দিতে হবে।
30,বারি সুপারি-২ জাতের একটি খোসাসহ কাঁচা সুপারির ওজন কত?,খোসা সহ একক কাঁচা সুপারির গড় ওজন ৪০.০০ গ্রাম।
31,বারি কফি-১-এর রং-সংক্রান্ত বৈশিষ্ট্য কী?,উভয় প্রকার কফির ফুল সাদা রঙের হয়।
32,সুপারি চাষে বীজের হার কত?,প্রতি হেক্টরে বীজের হার ৭০-৮০ কেজি (খোসাসহ কাঁচা সুপারি)।
33,জোয়ার মাটি ও জমি নির্বাচন সম্পর্কে কী বলা হয়েছে?,"জোয়ার এমন একটি ফসল যা কম উর্বর, অধিক কাদাযুক্ত অগভীর মাটি যেখানে ভুট্টা উৎপাদন সহজ নয় সে সকল জমিতে চাষাবাদ হয়।"
34,পালংশাকের কম্পোস্ট ব্যবস্থাপনা কখন বপন করা উচিত?,প্রযুক্তি ব্যবহারের তথ্য: শস্য: পালংশাক; জাত: বারি পালংশাক-২; বপনের সময়: ১৫-৩০ নভেম্বর।
35,লটকন চারা লাগানোর পর খুঁটির সঙ্গে কী করতে হবে?,তারপর চারাটি খুঁটির সাথে বেঁধে দিতে হবে এবং চারার গোড়ায় ঝাঁঝরি দিয়ে পানি দিতে হবে।
36,মাঠের ইঁদুর ব্যবস্থাপনা বিষয়ে সমন্বিত ইঁদুর ব্যবস্থাপনার সম্পর্কে কী তথ্য আছে?,সমন্বিত ইঁদুর ব্যবস্থাপনার একটি উপায় হিসাবে এটি ব্যবহার করা যাবে।
37,বারি আলু-১০১-এর ব্যবহার বা উপযোগিতা সম্পর্কে কী বলা হয়েছে?,আলুর জাত বারি আলু-১০১ (ব্ল্যাকবেরী) জাতটি চিপস প্রক্রিয়াজাতকরণ আলু হিসাবে উপযোগী।
38,বারি মরিচ-৬-এর পাতা সম্পর্কে কী তথ্য আছে?,কাণ্ড ও পাতার অক্ষ কালচে রং দ্বারা আবৃত থাকে।
39,সুপারির উপযুক্ত মাটির ধরন কী?,"সুপারি চাষের জন্য উর্বর ও মাঝারি ধরনের মাটি অর্থাৎ হালকা বুনটের মাটি উত্তম, তবে বেলে দো-আঁশ মাটি সবচেয়ে উপযোগী।"
40,গম-পাট-রোপা আমন ফসল বিন্যাসের রোপণ পদ্ধতি সম্পর্কে কী বলা হয়েছে?,৮ থেকে ১০ সারি পরপর এক সারি বাদ দিয়ে চারা রোপণ করলে ধান গাছ পর্যাপ্ত আলো বাতাস পায়।
41,বারি কাঁঠাল-৫ সম্পর্কে কোষের রং ও গুণ বিষয়ে কী বলা হয়েছে?,"কোষ গুলি মোটামুটি শক্ত, রস যুক্ত, গাঢ় হলুদ বর্ণের হয় এবং বেশ সুমিষ্ট (টিএসএস-২৭.৪%)।"
42,চীনাবাদাম বিষয়ে বাদামের খোসার শিরা-উপশিরা সম্পর্কে কী তথ্য আছে?,বাদামের খোসার শিরা উপশিরাগুলো সুস্পষ্ট দেখা যায়।
43,চর এলাকায় বিনা চাষে পেঁয়াজের চারা সম্পর্কে কী তথ্য দেওয়া হয়েছে?,অনেক সময় আর্দ্রতার পরিমাণ বেশি হলে কিছু বীজ নষ্ট হয়ে যায় অথবা চারা গজানোর পর চারার গোঁড়া পচে হলুদ হয়ে মরে যায় যা ফিউজেরিয়াম ছত্রাকের কারণে হয়ে থাকে।
44,গম-পাট-রোপা আমন ফসল বিন্যাস চাষে কোন সার কত পরিমাণে দিতে হবে?,সেচসহ চাষের ক্ষেত্রে চারার তিন পাতা বয়সে প্রথম সেচের পর হেক্টরপ্রতি ৭৫-৯০ কেজি ইউরিয়া উপরি প্রয়োগ করতে হবে।
45,বারি কফি-১-এর বীজ বা দানার বৈশিষ্ট্য কী?,বিন/বীজ গোলাকৃতির সবুজাভ বাদামী রং ধারণ করে।
46,জোয়ার চাষের জন্য উপযুক্ত মাটির পিএইচ কত?,খরাযুক্ত জমিতে (পিএইচ ৫.৫-৮.৫) জোয়ার ভালো হয়।
47,গম-পাট-রোপা আমন ফসল বিন্যাসের আয়-ব্যয় বা মুনাফা সম্পর্কে কী তথ্য আছে?,কৃষক ১টি ফসল বেশি করার ফলে এই উন্নত ফসল বিন্যাসে নীট মুনাফা প্রায় শতকরা ২৫ ভাগ বৃদ্ধি পেয়েছে।
48,সুপারি সম্পর্কে খোলামেলা সেচের সুবিধা হালকা প্রসঙ্গে উৎসে কী বলা হয়েছে?,"খোলামেলা, সেচের সুবিধা আছে এমন হালকা বুনটের মাটিতে বীজতলা করা উচিত।"
49,সুপারি: খোলামেলা সেচের সুবিধা হালকা প্রসঙ্গে কী তথ্য আছে?,"খোলামেলা, সেচের সুবিধা আছে এমন হালকা বুনটের মাটিতে বীজতলা করা উচিত।"
50,চর এলাকায় বিনা চাষে পেঁয়াজ কখন বা কীভাবে সংগ্রহ করতে হবে?,সাধারণত বীজ বপনের ৩-৪ মাসের মধ্যে পেঁয়াজের বাল্ব তোলার উপযুক্ত হয়।
51,চুইঝালের জলাবদ্ধতা ও পানি নিষ্কাশন সম্পর্কে কী নির্দেশনা আছে?,গাছ জলাবদ্ধতা সহ্য করতে পারে না বিধায় নিচু বা পানি জমে থাকে এরূপ জায়গায় চুইঝালের গাছ না লাগানোই উত্তম।
52,বারি কফি-১ সম্পর্কে হেক্টরপ্রতি চারার সংখ্যা বিষয়ে কী বলা হয়েছে?,১ হেক্টর জমিতে এরাবিকার জন্য ২০০০টি চারা এবং রোবাস্টার জন্য ১১১২টি চারা প্রয়োজন হয়।
53,বারি বার্লি-১০ সম্পর্কে পরিপক্বতার সময় বিষয়ে কী বলা হয়েছে?,পরিপক্ক হতে ৯৫-১০৫ দিন সময় লাগে।
54,বারি সুপারি-১-এর গাছের উচ্চতা কত?,গাছের গড় উচ্চতা (৫০ বছর বয়সে) ১০.৭৭ মি।
55,জারবেরার টিস্যু কালচার চারা উৎপাদন ও পরিচর্যায় কী নির্দেশনা আছে?,বৈশিষ্ট্য সমূহ অধিক সংখ্যক সুস্থ সবল ও রোগমুক্ত জারবেরা চারা পাওয়া যায়।
56,মেটে আলু কখন বা কীভাবে সংগ্রহ করতে হবে?,যখন অধিকাংশ পাতা হলুদ বর্ণ ধারণ করে অথবা লতা সম্পূর্ণরূপে শুকিয়ে যায় তখন মেটে আলু উত্তোলনের উত্তম সময়।
57,মরিচের সাথে পাতা জাতীয় সবজি আন্তঃফসল বপন বা রোপণে কী দূরত্ব রাখতে হয়?,"বপন/রোপণ দূরত্ব মরিচের স্বাভাবিক সারি (৬০ সেমি × ৫০ সেমি),পাতা জাতীয় সবজি (২০ সেমি) বপন/রোপণ পদ্ধতি দুই সারি মরিচের মাঝে দুই সারিপাতা জাতীয় সবজির বীজ বপন করা হয়।"
58,বারি সোলার টানেল ড্রায়ার সংরক্ষণ সম্পর্কে কী নির্দেশনা আছে?,দ্রব্য একদিনে না শুকালে সেগুলো ড্রায়ারের ভিতরে রেখেই ড্রায়ারসহ নিরাপদ স্থানে সংরক্ষণ করা যেতে পারে।
59,বারি পানিকচু-৯-এর লতি সম্পর্কে কী বলা হয়েছে?,বারি পানিকচু-৯ এর প্রধান ভক্ষণযোগ্য অংশ হলো লতি।
60,ভালো ফলনের জন্য চিয়া চাষে কয়টি সেচ প্রয়োজন?,ভাল ফলন পেতে হলে অবশ্যই ২-৩টি সেচ দিতে হবে।
61,আগাম আলুর বারি আলু-৪১ ও বারি আলু-৯০ সম্পর্কে উন্নত ফসল বিন্যাসের বিষয়ে কী বলা হয়েছে?,উন্নত এই ফসল বিন্যাসের মাধ্যমে হেক্টর প্রতি মোট মুনাফা ১৯৯৮৬০/- টাকা যেখানে কৃষকের প্রচলিত ফসল বিন্যাসে এই মুনাফা মাত্র ১৭১৩১০/- টাকা।
62,মরিচ সম্পর্কে কাঁচা ও পাকা মরিচ সংগ্রহ বিষয়ে কী বলা হয়েছে?,প্রথম ও দ্বিতীয় বারের সংগৃহীত ফসল কাঁচা মরিচ হিসেবে এবং পরের মরিচ পাকা (লাল রং) হিসাবে সংগ্রহ করা হয়।
63,পালংশাকের কম্পোস্ট ব্যবস্থাপনার মাটি ও জমি নির্বাচন সম্পর্কে কী বলা হয়েছে?,"মাটির আয়তনী ঘনত্ব কমে যায়, পানি ধারণ ক্ষমতা ও জৈব পদার্থের পরিমাণ বাড়ায়।"
64,মসুর অণুজীব সার প্রযুক্তির উপযোগিতা সম্পর্কে কী বলা হয়েছে?,বাংলাদেশের মসুর ডাল উৎপাদনকারী সকল এলাকাসমূহে ব্যবহার করা যাবে।
65,গম-পাট-রোপা আমন ফসল বিন্যাসের চারা উৎপাদন ও পরিচর্যায় কী নির্দেশনা আছে?,গম: বীজ বপনের ১০-১২ দিন পর্যন্ত পাখি তাড়ানোর ব্যবস্থা রাখতে হবে যাতে বীজ বা চারার সংখ্যা সঠিক থাকে।
66,বারি চিনা-২-এর মাটি ও জমি নির্বাচন সম্পর্কে কী বলা হয়েছে?,বারি চিনা-২ উৎপাদন প্রযুক্তি জমি নির্বাচন ও তৈরি: পানি জমে না এমন বেলে দোআঁশ বা দোআঁশ মাটি চিনা চাষের জন্য উপযুক্ত।
67,চীনাবাদামের উপযোগী তাপমাত্রা সম্পর্কে কী তথ্য আছে?,চীনাবাদাম চাষে মধ্যম বৃষ্টিপাত (৫০০-১০০০ মি.মি.) ও তুলনামূলকভাবে অধিক তাপমাত্রা দরকার হয়।
68,চিয়া চাষে সেচ কতটা প্রয়োজন?,চিয়া মূলত মরুভূমির উদ্ভিদ যা অল্প সেচে জন্মাতে পারে।
69,বার্লির ব্যবহার বা উপযোগিতা সম্পর্কে কী বলা হয়েছে?,বিশেষ প্রক্রিয়াজাতকরণের প্রয়োজন হয় না।
70,কাঁঠালের সেচ দেওয়ার ব্যবধান কত?,"ডিসেম্বর থেকে মে মাস পর্যন্ত শুকনো মৌসুমে ১৫ দিন অন্তর রূপান্তরিত বেসিন পদ্ধতিতে পানি সেচ দিলে কচি ফল ঝরা কমে, ফলন ও ফলের গুণগত মানবৃদ্ধি পায়।"
71,বারি কফি-১-এর গাছের গঠন বা বৃদ্ধির বৈশিষ্ট্য কী?,কফি গাছের সঠিক আকৃতি প্রদান এবং অপ্রয়োজনীয় ডালপালা সরানোর জন্য ছাটাই করা হয়।
72,গম-পাট-রোপা আমন ফসল বিন্যাস বিষয়ে ইউরিয়া উপরি প্রয়োগের তিন সময় সম্পর্কে কী তথ্য আছে?,"ইউরিয়া তিন কিস্তিতে চারা রোপণের ৭-১০ দিন, ২০-২৫ দিন এবং ৩৫-৪০ দিন পর উপরি প্রয়োগ করতে হবে।"
73,মেটে আলু চাষে বপন বা রোপণের দূরত্ব কত?,গিট থেকে গিটের দূরত্ব ২০ সে.মি. (মাটি থেকে ১ মিটার এর মধ্যে)।
74,চুইঝাল চাষে গাছের গোড়া থেকে কত দূরে সার প্রয়োগ করতে হবে?,প্রতি বছর বর্ষার আগে ও পরে গাছের গোড়া থেকে ৫০ সেমি দূরে সার প্রয়োগ করতে হবে।
75,বারি চীনাবাদাম-১২ বীজ দেখতে কোন রঙের?,বীজের রং লালচে বাদামী বর্ণের।
76,বারি সুপারি-১-এর গাছ কতটা লম্বা হয়?,গাছের গড় উচ্চতা (৫০ বছর বয়সে) ১০.৭৭ মি।
77,বারি মরিচ-৬ সাধারণত কতদিনে জীবনচক্র সম্পন্ন করে?,খাওয়ার উপযোগী সংগ্রহকাল ১৫০-২৩০ দিন এবং বীজের জন্য জীবনকাল ২৫০-২৮০ দিন।
78,বারি লটকন-২-এর ফলন কত?,ত্রিশ বছর বয়সী প্রতিটি গাছে গড় ফলের সংখ্যা ২৮৫৮ টি এবং ফলন প্রতি বছরে ৬১.৫৭ কেজি/ গাছ এবং ৯.৬১ টন/হেক্টর।
79,জোয়ার সার প্রয়োগ সম্পর্কে কী বলা হয়েছে?,দ্বিতীয় ভাগ ইউরিয়া বীজ গজানোর ২৫-৩০ দিন পর উপরি প্রয়োগ করতে হয় তৃতীয় ভাগ গাছে ফুল আসার সময় দিতে হয়।
80,সয়াবিন-রোপা আউশ-রোপা আমন ফসল বিন্যাস সম্পর্কে পানি ধরে আগাছা কমানো বিষয়ে কী বলা হয়েছে?,জমিতে ৫-১০ সেমি পানি ধরে রাখলে আগাছার পরিমাণ কম হয়।
81,অড়হর গাছের বৃদ্ধি ও শাখা-প্রশাখা সম্পর্কে কী বলা হয়েছে?,"অড়হরের গাছ ২-৩ মিটার লম্বা, ঝোঁপালো ও ডালপালা যুক্ত হয় বলে সারি করে বপন করতে হবে।"
82,সুপারি চাষের জন্য কী ধরনের মাটি উপযোগী?,"সুপারি চাষের জন্য উর্বর ও মাঝারি ধরনের মাটি অর্থাৎ হালকা বুনটের মাটি উত্তম, তবে বেলে দো-আঁশ মাটি সবচেয়ে উপযোগী।"
83,সুপারির সার প্রয়োগ সম্পর্কে কী বলা হয়েছে?,"বীজতলার জমির উর্বরতা অনুযায়ী হেক্টরপ্রতি ১৫-২০ টন গোবর বা জৈব সার প্রয়োগ করতে হবে, তবে কোনো রাসায়নিক সার প্রয়োগের প্রয়োজন নেই।"
84,বারি অড়হর-১-এর পাতা সম্পর্কে কী তথ্য আছে?,পাতা গাঢ় সবুজ এবং ফুলের রং গাঢ় হলুদ।
85,কাঁঠাল বিষয়ে বর্ষায় পানি নিষ্কাশন সম্পর্কে কী তথ্য আছে?,বর্ষা মৌসুমে বৃষ্টির পানি দ্রুত নিষ্কাশনের সুব্যবস্থা করা আবশ্যক।
86,মরিচের সাথে পাতা জাতীয় সবজি আন্তঃফসল কখন বা কীভাবে সংগ্রহ করতে হবে?,চারা রোপণের ৭০-৭৫ দিন পর মরিচ উত্তোলন শুরু হয় এবং প্রায় ৫-৬ বার কাঁচা মরিচ উত্তোলন করা যায়।
87,চিনা বপন বা রোপণে কী দূরত্ব রাখতে হয়?,৬-৮ সেমি দূরত্বে একটি করে চারা রেখে মাঝের চারাগুলো তুলে ফেলতে হবে।
88,চুইঝাল বিষয়ে শুকনা চুইঝাল গুঁড়া করে সংরক্ষণ সম্পর্কে কী তথ্য আছে?,শুঁকানো টুকরোগুলোকে মেশিনে গুড়ো করে প্যাকেট বা কৌটায় সংরক্ষণ করা হয়।
89,বার্লি চারা পাতলা করার সময় কত দূরত্বে একটি চারা রাখতে হবে?,চারা গজানোর ২-৩ সপ্তাহের মধ্যে ৮-১০ সে.মি. দূরত্বে একটি করে চারা রেখে বাকি চারা তুলে পাতলা করে দিতে হবে।
90,চুইঝাল বিষয়ে পানি নিষ্কাশন সম্পর্কে কী তথ্য আছে?,দো-আঁশ ও বেলে দো-আঁশ মাটি এবং পানি নিষ্কাশনের সুবিধাযুক্ত ও ছায়াময় উঁচু জমিতে সাধারণত চুইঝাল চাষ করা হয়।
91,পানিকচু কখন রোপণ করা উচিত?,আগাম ফসলের জন্য কার্তিক ও নাবী ফসলের জন্য মধ্য ফাল্গুন থেকে মধ্য বৈশাখ মাসে লাগানো যায়।
92,চীনাবাদামের অতিরিক্ত কম বা বেশি তাপমাত্রার প্রভাব কী?,২০ ডিগ্রি সে. তাপমাত্রার নীচে বৃদ্ধির ব্যাঘাত ঘটে এবং ৩৫ ডিগ্রি সে. তাপমাত্রার অধিক ফুল ধরার অসুবিধা হয়।
93,বেগুনের সাথে পেঁয়াজ ও রসুন আন্তঃফসলের ব্যবহার বা উপযোগিতা সম্পর্কে কী বলা হয়েছে?,বেগুনের সারি থেকে সারির দূরত্ব বেশি হওয়ায় এর মাঝে অতি সহজেই পেঁয়াজ এবং রসুন আবাদ করা সহজ।
94,চুইঝাল সম্পর্কে পানি নিষ্কাশন বিষয়ে কী বলা হয়েছে?,দো-আঁশ ও বেলে দো-আঁশ মাটি এবং পানি নিষ্কাশনের সুবিধাযুক্ত ও ছায়াময় উঁচু জমিতে সাধারণত চুইঝাল চাষ করা হয়।
95,পানিকচু চাষে পানি জমে থাকা নিয়ে কী বলা হয়েছে?,পানিকচু একটি জলজ উদ্ভিদ হলেও দীর্ঘ সময়ধরে জলাবদ্ধতা সহ্য করতে পারে না।
96,বারি অড়হর-১-এর পাতার বৈশিষ্ট্য কী?,পাতা গাঢ় সবুজ এবং ফুলের রং গাঢ় হলুদ।
97,অড়হর সম্পর্কে কাঁচা ফল সংগ্রহের সময় বিষয়ে কী বলা হয়েছে?,কাঁচা ফল সব্জি হিসাবে ব্যবহারের জন্য বীজ পরিপক্ক হওয়ার ৩০-৪০ দিন পূর্বে হাত দিয়ে তুলে ফল সংগ্রহ করা যায়।
98,মুখীকচু বপন বা রোপণে কী দূরত্ব রাখতে হয়?,একক সারি পদ্ধতিতে রোপণ দূরত্ব: ৬০ সেমি × ৩৫ সেমি।
99,বারি আলু-১০৩-এর কন্দের রং সম্পর্কে কী বলা হয়েছে?,"আলুর চামড়া মসৃণ ও রং হলুদ, শাঁসের রং ক্রিম, চোখ অগভীর ও চোখ আলুতে সমভাবে বিন্যস্ত।"
100,বারি পাটের আঁশ ছাড়ানো যন্ত্র কীভাবে সংরক্ষণ করতে হবে?,বহির্গমন ট্রেতে সংগৃহীত পাটের আঁশ সংগ্রহ করে ভাঁজ করে সংরক্ষণ করুন।
101,বারি পানিকচু-৮ সম্পর্কে রান্নার পর লতির বৈশিষ্ট্য বিষয়ে কী বলা হয়েছে?,রান্না করলে লতি সমানভাবে সিদ্ধ হয় এবং খেতে অত্যন্ত সুস্বাদু।
102,মসুর অণুজীব সার সেচ ব্যবস্থাপনায় কী নির্দেশনা আছে?,জমিতে পর্যাপ্ত 'জো' না থাকলে বীজ বপনের পর জমিতে সেচ দিতে হবে।
103,বারি কফি-১-এর চারা পরিচর্যায় খুঁটি ব্যবহারের নির্দেশনা কী?,বর্ষা মৌসুমের বাতাস থেকে রক্ষার জন্য চারাকে খুঁটির সাথে বেঁধে দিতে হবে।
104,জোয়ার চাষে বীজের হার কত?,বীজের পরিমাণ হেক্টর প্রতি ১০ কেজি।
105,চিয়া সম্পর্কে চিয়াবীজ শরবত হিসেবে ব্যবহার বিষয়ে কী বলা হয়েছে?,চিয়াবীজকে সারারাত পানিতে ভিজিয়ে সহজেই শরবত হিসেবে খাওয়া যায়।
106,বারি কফি-১-এর ফলের দৈর্ঘ্য ও প্রস্থ বা ব্যাস কত?,ফলের গড় দৈর্ঘ্য ১.৩০ সে.মি. এবং প্রস্থ ১.২০ সে.মি.।
107,চীনাবাদাম চাষে তাপমাত্রা সম্পর্কে কী বলা হয়েছে?,চীনাবাদাম চাষে মধ্যম বৃষ্টিপাত (৫০০-১০০০ মি.মি.) ও তুলনামূলকভাবে অধিক তাপমাত্রা দরকার হয়।
108,"মাঠের ইঁদুর ব্যবস্থাপনা বিষয়ে মানব স্বাস্থ্য, মাটি ও পরিবেশে প্রভাব সম্পর্কে কী তথ্য আছে?","মানব স্বাস্থ্য, মাটি ও পরিবেশের কোন ক্ষতি হবে না।"
109,চর এলাকায় বিনা চাষে পেঁয়াজ বিষয়ে শুকনো বালু ব্যবহারের সুবিধা সম্পর্কে কী তথ্য আছে?,শুকনো বালু ব্যবহারের সুবিধা হলো এটি দ্রুত পেঁয়াজের বীজ এর আশে পাশের মাটির অতিরিক্ত আর্দ্রতা শোষণ করে নেয় যার ফলে ছত্রাকের আক্রমণ কমে যায় এবং মাঠে কাঙ্ক্ষিত চারা পাওয়া যায়।
110,অড়হর থেকে হেক্টরপ্রতি কত বীজ পাওয়া যায়?,অড়হর জাতের বীজের ফলন প্রতি হেক্টরে ১.৫-১.৮ টন।
111,পানিকচুর জলাবদ্ধতা ও পানি নিষ্কাশন সম্পর্কে কী নির্দেশনা আছে?,পানিকচু একটি জলজ উদ্ভিদ হলেও দীর্ঘ সময়ধরে জলাবদ্ধতা সহ্য করতে পারে না।
112,চীনাবাদাম বিষয়ে পানি নিষ্কাশনের জন্য নালা সম্পর্কে কী তথ্য আছে?,শেষ চাষের সময় মই দিয়ে মাটি সমান করে জমির চারপাশ দিয়ে নালার ব্যবস্থা করতে হবে; যাতে পরবর্তীতে সেচ ও অতিরিক্ত বৃষ্টির কারণে পানি নিষ্কাশনে সুবিধা হয়।
113,মেটে আলুর সারের মাত্রা সম্পর্কে কী তথ্য আছে?,"হেক্টরপ্রতি ২০ টন গোবর বা খামারজাত সার ও ২ টন ছাই, ২৬০ কেজি ইউরিয়া, ৩০০ কেজি টিএসপি এবং ১৬০ কেজি এমপি সার প্রয়োগ করতে হবে।"
114,কাঁঠালের সেচ সম্পর্কে কী বলা হয়েছে?,চারা রোপণের পর প্রয়োজন মতো পানি সেচ ও বেড়ার ব্যবস্থা করতে হবে।
115,বারি ডাঁটা-৪-এর ব্যবহার বা উপযোগিতা সম্পর্কে কী বলা হয়েছে?,বীজ বপনের ৩০ দিন পর থেকে পাতা শাক হিসেবে এবং ৪২ দিন পর থেকে ডাঁটা খাওয়ার উপযোগী হয়।
116,চীনাবাদাম কীভাবে চাষ বা বপন করতে হবে?,জমিতে ভালভাবে চাষ দিয়ে মাটিতে 'জোঁ' থাকা অবস্থায় লাঙ্গল দিয়ে ২.৫-৩.৫ সে.মি. গভীর নালা টেনে তাতে বীজ বুনে মাটি দিয়ে ঢেকে দিতে হবে।
